937410	gem.	AA(degree=pos,wf=abbr)	gemeubileerd
100372	v.C.	ADV(type=reg,wf=abbr)	voor Christus
945204	Buma	NOU-P(gender=n,number=sg,wf=abbr)	Bureau voor Muziek
146545	alv	NOU-C(gender=f,number=sg,wf=abbr)	algemene ledenvergadering
168548	3D	AA(degree=pos,wf=abbr)	driedimensionaal
98130	cv	NOU-C(gender=n,number=sg,wf=abbr)	curriculum vitae
174785	di	NOU-C(gender=m,number=sg,wf=abbr)	dinsdag
199962	feb.	NOU-C(gender=m,number=sg,wf=abbr)	februari
199900	woe.	NOU-C(gender=m,number=sg,wf=abbr)	woensdag
199901	do.	NOU-C(gender=m,number=sg,wf=abbr)	donderdag
217167	vrij.	NOU-C(gender=m,number=sg,wf=abbr)	vrijdag
199903	za.	NOU-C(gender=m,number=sg,wf=abbr)	zaterdag
217169	zat.	NOU-C(gender=m,number=sg,wf=abbr)	zaterdag
904877	zon.	NOU-C(gender=m,number=sg,wf=abbr)	zondag
199904	zo.	NOU-C(gender=m,number=sg,wf=abbr)	zondag
199975	mrt.	NOU-C(gender=m,number=sg,wf=abbr)	maart
217180	febr	NOU-C(gender=m,number=sg,wf=abbr)	februari
217164	wo	NOU-C(gender=m,number=sg,wf=abbr)	woensdag
199971	za	NOU-C(gender=m,number=sg,wf=abbr)	zaterdag
217168	zat	NOU-C(gender=m,number=sg,wf=abbr)	zaterdag
199978	apr.	NOU-C(gender=m,number=sg,wf=abbr)	april
199981	jul.	NOU-C(gender=m,number=sg,wf=abbr)	juli
199983	aug.	NOU-C(gender=m,number=sg,wf=abbr)	augustus
199994	dec.	NOU-C(gender=m,number=sg,wf=abbr)	december
199977	apr	NOU-C(gender=m,number=sg,wf=abbr)	april
180275	jul	NOU-C(gender=m,number=sg,wf=abbr)	juli
180291	jun	NOU-C(gender=m,number=sg,wf=abbr)	juni
199991	nov	NOU-C(gender=m,number=sg,wf=abbr)	november
199988	okt	NOU-C(gender=m,number=sg,wf=abbr)	oktober
100753	tgv	NOU-C(gender=m,number=sg,wf=abbr)	train à grande vitesse
936647	AEX	NOU-P(gender=m,number=sg,wf=abbr)	Amsterdam Exchanges Index
938220	NPS	NOU-P(gender=f,number=sg,wf=abbr)	Nationale Partij Suriname
902041	PAP	NOU-P(gender=n,number=sg,wf=abbr)	Pools persbureau
932731	GGD	NOU-P(gender=m,number=sg,wf=abbr)	Gerechtelijk-Geneeskundige Dienst
937298	ESF	NOU-P(gender=n,number=sg,wf=abbr)	Europees Sociaal Fonds
926658	KI	NOU-C(gender=m/f,number=sg,wf=abbr)	kamer van inbeschuldigingstelling
902058	VIP	NOU-P(gender=f,number=sg,wf=abbr)	Vrije Indische Partij
933074	OMT	NOU-C(gender=f,number=sg,wf=abbr)	orthopedische manuele therapie
940290	dm	NOU-C(gender=m/f,number=sg,wf=abbr)	direct message
943841	NPC	NOU-C(gender=m/n,number=sg,wf=abbr)	non-player character; non-playable character
942588	so	NOU-C(gender=f,number=sg,wf=abbr)	schriftelijke overhoring
940759	fyi	ADV(type=reg,wf=abbr)	for your information
942597	cc	NOU-C(gender=n,number=sg,wf=abbr)	collectief contract
933654	irl	ADV(type=reg,wf=abbr)	in real life
942599	cvt	NOU-C(gender=f,number=sg,wf=abbr)	commissie van toezicht
944813	DAB	NOU-C(gender=m/f,number=sg,wf=abbr)	digital audio broadcasting
939630	BRICS	NOU-P(gender=m/f,number=sg,wf=abbr)	Brazil, Russia, India, China, South Africa
936069	1G	NOU-C(gender=n,number=sg,wf=abbr)	first generation
937474	GOAT	NOU-C(gender=m/f,number=sg,wf=abbr)	greatest of all time
926806	lhbtqiap	NOU-C(gender=m/f,number=sg,wf=abbr)	lesbienne, homo, bi, transgender, queer, interseks(ueel), aseksueel, panseksueel
97090	ASFA	NOU-P(gender=f,number=sg,wf=abbr)	Associatie van Surinaamse Fabrikanten
925652	BBL	NOU-P(gender=f,number=sg,wf=abbr)	Bond Beter Leefmilieu
902059	VN	NOU-P(gender=n,number=sg,wf=abbr)	Vrij Nederland
942606	vi	NOU-C(gender=f,number=sg,wf=abbr)	vervroegde invrijheidstelling (Nederland)
925651	BB	NOU-P(gender=f,number=sg,wf=abbr)	Bescherming Bevolking
925684	Bloso	NOU-P(gender=n,number=sg,wf=abbr)	Bestuur voor Lichamelijke Opvoeding, Sport en Openluchtleven
925974	KEMA	NOU-P(gender=f,number=sg,wf=abbr)	Keuring van Elektrotechnische Materialen Arnhem
